Option,Statement,Location,True'Branch,No.,False'Branch
slave_allow_batching,if ((thd->variables.option_bits & OPTION_ALLOW_BATCH) ||(thd->slave_thread && opt_slave_allow_batching)),sql/sql_thd_api.cc:539,sql/sql_thd_api.cc:541,174,
sql_buffer_result,"if ((group_list.empty() && (order.empty() || windowing) &&!select_distinct) ||(select_lex->active_options() &
 (SELECT_BIG_RESULT | OPTION_BUFFER_RESULT)))",sql/sql_executor.cc:250,sql/sql_executor.cc:254,175,
sql_buffer_result,"if (!tab->filesort && !tab->table()->s->keys &&
            (!(select_lex->active_options() & OPTION_BUFFER_RESULT) ||
             need_tmp_before_win || wno >= 1))",sql/sql_select.cc:4705,sql/sql_select.cc:4712,176,
sql_notes,if (!(variables.option_bits & OPTION_SQL_NOTES)),sql/sql_class.cc:677,sql/sql_class.cc:677,177,
sql_notes," if (!(variables.option_bits & OPTION_SQL_NOTES) &&
      (level == Sql_condition::SL_NOTE))",sql/sql_class.cc:713,sql/sql_class.cc:715,178,
require_row_format,"if (!print_event_info->require_row_format &&
      (!print_event_info->thread_id_printed ||
       ((common_header->flags & LOG_EVENT_THREAD_SPECIFIC_F) &&
        thread_id != print_event_info->thread_id)))",sql/log_event.cc:4246,sql/log_event.cc:4251,179,
require_row_format,if (thd->variables.require_row_format) ,sql/sql_parse.cc:2977,sql/sql_parse.cc:2978,180,sql/sql_parse.cc:2990
require_row_format, if (lex_mi->require_row_format != -1) ,sql/rpl_slave.cc:9656,sql/rpl_slave.cc:9657,181,
require_secure_transport," if (opt_require_secure_transport &&
          !is_secure_transport(thd->active_vio->type))",sql/auth/sql_authentication.cc:3550,sql/auth/sql_authentication.cc:3551,182,sql/auth/sql_authentication.cc:3556
resultset_metadata, if (packet_length >= 12),libmysql/libmysql.cc:1298,libmysql/libmysql.cc:1299,183,
resultset_metadata, if (m_thd->variables.resultset_metadata == RESULTSET_METADATA_FULL),sql/protocol_classic.cc:3095,sql/protocol_classic.cc:3096,184,sql/protocol_classic.cc:3099
resultset_metadata,ï»?switch (variables.resultset_metadata),/sql/sql_class.cc:2496,,185,
resultset_metadata,if (mysql->client_flag & CLIENT_OPTIONAL_RESULTSET_METADATA),sql-common/client.cc:2664,sql-common/client.cc:2665,186,sql-common/client.cc:2667
resultset_metadata,switch (mysql->resultset_metadata),sql-common/client.cc:2670,,187,
secondary_engine_cost_threshold,"if (thd->m_current_query_cost <=
      thd->variables.secondary_engine_cost_threshold)",sql/sql_select.cc:747,sql/sql_select.cc:748,188,sql/sql_select.cc:761
select_into_disk_sync,if (thd->variables.select_into_disk_sync) ,sql/query_result.cc:249,sql/query_result.cc:250,189,
select_into_disk_sync_delay,if (thd->variables.select_into_disk_sync_delay),sql/query_result.cc:251,sql/query_result.cc:252,190,
session_track_gtids,if (m_curr_session_track_gtids == SESSION_TRACK_GTIDS_ALL_GTIDS),sql/rpl_context.cc:75,sql/rpl_context.cc:82,191,
session_track_gtids,if (m_curr_session_track_gtids == SESSION_TRACK_GTIDS_OWN_GTID),sql/rpl_context.cc:101,sql/rpl_context.cc:102,192,sql/rpl_context.cc:133
session_track_gtids,"if (m_enabled ==
      (thd->variables.session_track_gtids != SESSION_TRACK_GTIDS_OFF))",sql/session_tracker.cc:1580,sql/session_tracker.cc:1582,193,sql/session_tracker.cc:1584
slow_launch_time,if (launch_time >= slow_launch_time * 1000000ULL),sql/conn_handler/connection_handler_per_thread.cc:211,sql/conn_handler/connection_handler_per_thread.cc:212,194,
sql_mode,if (sql_mode != nullptr) ,client/mysqlslap.cc:1500,client/mysqlslap.cc:1501,195,
sql_mode, if (thd->variables.sql_mode & MODE_TIME_TRUNCATE_FRACTIONAL),sql/field.cc:4989,sql/field.cc:4990,196,
sql_mode, if (thd->variables.sql_mode & MODE_TIME_TRUNCATE_FRACTIONAL),sql/field.cc:5149,sql/field.cc:5150,197,
sql_mode,if (thd->variables.sql_mode & MODE_NO_ZERO_DATE),sql/field.cc:5618,sql/field.cc:5619,198,
sql_mode," if (field_charset->pad_attribute == NO_PAD &&
      !(table->in_use->variables.sql_mode & MODE_PAD_CHAR_TO_FULL_LENGTH)) ",sql/field.cc:6294,sql/field.cc:6300,199,
sql_mode,"if ((nr = table->next_number_field->val_int()) != 0 ||
      (table->autoinc_field_has_explicit_non_null_value &&thd->variables.sql_mode & MODE_NO_AUTO_VALUE_ON_ZERO))",sql/handler.cc:3706,sql/handler.cc:3712,200,sql/handler.cc:3741
sql_mode, if (thd->variables.sql_mode & MODE_NO_ZERO_IN_DATE),sql/item_cmpfunc.cc:863,sql/item_cmpfunc.cc:864,201,
sql_mode, if (thd->variables.sql_mode & MODE_NO_ZERO_IN_DATE),sql/item_create.cc:2060,sql/item_create.cc:2061,202,
sql_mode,if (thd->variables.sql_mode & MODE_ERROR_FOR_DIVISION_BY_ZERO),sql/item_func.cc:730,sql/item_func.cc:731,203,
sql_mode,if (sql_mode & MODE_NO_ZERO_IN_DATE),sql/item_timefunc.cc:847,sql/item_timefunc.cc:847,204,
sql_mode,"if (exchange->field.escaped->length() &&
      (exchange->escaped_given() ||
       !(thd->variables.sql_mode & MODE_NO_BACKSLASH_ESCAPES)))",sql/query_result.cc:316,sql/query_result.cc:317,205,sql/query_result.cc:319
sql_mode,"if (thd->variables.sql_mode & MODE_NO_ZERO_DATE &&
      !thd->variables.explicit_defaults_for_timestamp) ",sql/sql_table.cc:8085,sql/sql_table.cc:8086,206,
transaction_isolation,switch (thd->tx_isolation),/sql/handler.cc:8527,,207,
transaction_isolation,"if ((thd->tx_isolation == ISO_SERIALIZABLE || issue_warning) &&
        !(tl->referencing_view && tl->referencing_view->is_system_view))",sql/sql_base.cc:5670,sql/sql_base.cc:5672,208,
updatable_views_with_limit,if (thd->variables.updatable_views_with_limit),/sql/sql_view.cc:1963,/sql/sql_view.cc:1965,209,/sql/sql_view.cc:1970
use_secondary_engine,"  if (thd->secondary_engine_optimization() ==
 Secondary_engine_optimization::PRIMARY_TENTATIVELY &&thd->variables.use_secondary_engine == SECONDARY_ENGINE_FORCED)",sql/sql_base.cc:6580,sql/sql_base.cc:6583,210,
use_secondary_engine," if (thd->variables.use_secondary_engine == SECONDARY_ENGINE_FORCED &&  sql_cmd->sql_command_code() == SQLCOM_SELECT &&                    
lex->table_count >= 1) ",sql/sql_select.cc:300,sql/sql_select.cc:303,211,sql/sql_select.cc:310
autocommit, if (opt_autocommit) ,client/mysqldump.cc:3810,client/mysqldump.cc:3811,212,
autocommit,"if ((thd->variables.option_bits & OPTION_NOT_AUTOCOMMIT) &&
      (opt_mi_repository_id == INFO_REPOSITORY_TABLE ||
       opt_rli_repository_id == INFO_REPOSITORY_TABLE))",sql/rpl_slave.cc:3973,sql/rpl_slave.cc:3976,213,
autocommit,if (!trx_is_autocommit_non_locking(trx)),storage/innobase/trx/trx0trx.cc:1314,storage/innobase/trx/trx0trx.cc:1319,214,storage/innobase/trx/trx0trx.cc:1336
autocommit,if (trx_is_autocommit_non_locking(trx)),storage/innobase/trx/trx0trx.cc:1822,storage/innobase/trx/trx0trx.cc:1823,215,storage/innobase/trx/trx0trx.cc:1858
binlog_checksum,"if (alg != binary_log::BINLOG_CHECKSUM_ALG_UNDEF &&
      (event_type == binary_log::FORMAT_DESCRIPTION_EVENT ||
       alg != binary_log::BINLOG_CHECKSUM_ALG_OFF))",sql/binlog_reader.cc:197,sql/binlog_reader.cc:200,216,
binlog_checksum,if (have_checksum),sql/binlog.cc:1272,sql/binlog.cc:1273,217,
binlog_checksum,if (checksum_alg_reset != binary_log::BINLOG_CHECKSUM_ALG_UNDEF) ,sql/binlog.cc:6553,sql/binlog.cc:6556,218,
binlog_checksum,"if (m_slave_checksum_alg == binary_log::BINLOG_CHECKSUM_ALG_UNDEF &&
      event_checksum_on()) ",sql/rpl_binlog_sender.cc:1107,sql/rpl_binlog_sender.cc:1108,219,sql/rpl_binlog_sender.cc:1116
binlog_checksum,"if (uint4korr(&buf[0]) == 0 &&
          checksum_alg == binary_log::BINLOG_CHECKSUM_ALG_OFF &&
          mi->rli->relay_log.relay_log_checksum_alg !=
              binary_log::BINLOG_CHECKSUM_ALG_OFF) ",sql/rpl_slave.cc:7662,sql/rpl_slave.cc:7666,220,sql/rpl_slave.cc:7688
foreign_key_checks," if (!(thd->variables.option_bits & OPTION_NO_FOREIGN_KEY_CHECKS) &&
        table->s->foreign_keys > 0) ",sql/rpl_write_set_handler.cc:738,sql/rpl_write_set_handler.cc:739,221,
foreign_key_checks,"  if ((!(thd->variables.option_bits & OPTION_NO_FOREIGN_KEY_CHECKS) ||
         prelocking_ctx->sql_command == SQLCOM_LOCK_TABLES ||
         table_list->prelocking_placeholder) &&
        !(table_list->table->s->tmp_table)) ",sql/sql_base.cc:6144,sql/sql_base.cc:6148,222,
foreign_key_checks,if (thd->variables.option_bits & OPTION_NO_FOREIGN_KEY_CHECKS),sql/sql_table.cc:2424,sql/sql_table.cc:2424,223,
foreign_key_checks, if (!(thd->variables.option_bits & OPTION_NO_FOREIGN_KEY_CHECKS)) ,sql/sql_table.cc:6721,sql/sql_table.cc:6722,224,
foreign_key_checks,if (!(thd->variables.option_bits & OPTION_NO_FOREIGN_KEY_CHECKS)) ,sql/sql_truncate.cc:528,sql/sql_truncate.cc:529,225,
gtid_mode,if (gtid_mode == Gtid_mode::ON || gtid_mode == Gtid_mode::ON_PERMISSIVE) ,sql/binlog.cc:7263,sql/binlog.cc:7264,226,
"gtid_mode,gtid_next"," if ((gtid_next_type == AUTOMATIC_GTID &&
       gtid_mode >= Gtid_mode::ON_PERMISSIVE) ||
      gtid_next_type == ASSIGNED_GTID ||
      gtid_consistency_mode == GTID_CONSISTENCY_MODE_ON) ",sql/binlog.cc:10551,sql/binlog.cc:10555,227,sql/binlog.cc:10573
tmp_table_size, if (thd->variables.tmp_table_size == ~(ulonglong)0),sql/sql_tmp_table.cc:2123,sql/sql_tmp_table.cc:2124,228,sql/sql_tmp_table.cc:2126
long_query_time, if (my_micro_time() > utime_after_lock + variables.long_query_time),sql/sql_class.cc:2833,sql/sql_class.cc:2834,229,sql/sql_class.cc:2833
select_limit, if (!(unit->global_parameters()->select_limit = new Item_int(1))) ,sql/item_subselect.cc:376,sql/item_subselect.cc:376,230,sql/item_subselect.cc:377
select_limit,if (unit->global_parameters()->select_limit == nullptr ||unit->global_parameters()->select_limit->val_uint() > 0),sql/item_subselect.cc:1464,sql/item_subselect.cc:1465,231,sql/item_subselect.cc:1470
select_limit, if (select_limit != nullptr),sql/sql_lex.cc:2406,sql/sql_lex.cc:2407,232,sql/sql_lex.cc:2411
select_limit,if (!tab->condition() && select_limit != HA_POS_ERROR &&select_limit <= ft_func->get_count()),sql/sql_optimizer.cc:2042,sql/sql_optimizer.cc:2050,233,sql/sql_optimizer.cc:2069
select_limit,"if (!is_force_index && (select_limit >= table_records) &&(tab->type() == JT_ALL &&
join->primary_tables > join->const_tables + 1) &&((unsigned)best_key != table->s->primary_key ||!table->file->primary_key_is_clustered())) ",sql/sql_optimizer.cc:2267,sql/sql_optimizer.cc:2272,234,sql/sql_optimizer.cc:2276
select_limit,if (tab->type() == JT_INDEX_SCAN &&select_limit < table->file->stats.records),sql/sql_optimizer.cc:2502,sql/sql_optimizer.cc:2505,235,sql/sql_optimizer.cc:2510
select_limit,if (select_limit != nullptr) ,sql/sql_resolver.cc:869,sql/sql_resolver.cc:870,236,sql/sql_resolver.cc:879
select_limit," if (select_limit != nullptr &&
      (!select_limit->const_item() || select_limit->val_int() == 0))",sql/sql_resolver.cc:1298,sql/sql_resolver.cc:1299,237,sql/sql_resolver.cc:1301
select_limit," if (is_covering || select_limit != HA_POS_ERROR ||
          (ref_key < 0 && (group || table->force_index_order))) ",sql/sql_select.cc:4985,sql/sql_select.cc:4987,238,sql/sql_select.cc:4985
select_limit,if (select_limit == HA_POS_ERROR),sql/sql_select.cc:4989,sql/sql_select.cc:4989,239,sql/sql_select.cc:4990
select_limit,if (select_limit > table_records / rec_per_key),sql/sql_select.cc:5007,sql/sql_select.cc:5008,240,sql/sql_select.cc:5010
select_limit,if (select_limit > refkey_rows_estimate),sql/sql_select.cc:5039,sql/sql_select.cc:5040,241,sql/sql_select.cc:5042
select_limit,if (multitable && select->select_limit) ,sql/sql_update.cc:1658,sql/sql_update.cc:1659,242,sql/sql_update.cc:1662
select_limit," if ((!view->is_view() && !view->belong_to_view) ||
      thd->lex->sql_command == SQLCOM_INSERT ||
      thd->lex->select_lex->select_limit == nullptr)",sql/sql_view.cc:1893,sql/sql_view.cc:1894,243,sql/sql_view.cc:1896
select_limit,if (unit->select_limit_cnt != HA_POS_ERROR || unit->offset_limit_cnt != 0),sql/join_optimizer/join_optimizer.cc:845,sql/join_optimizer/join_optimizer.cc:846,244,sql/join_optimizer/join_optimizer.cc:845
select_limit,if (unit->select_limit_cnt != HA_POS_ERROR || unit->offset_limit_cnt != 0) ,sql/sql_executor.cc:3133,sql/sql_executor.cc:3134,245,sql/sql_executor.cc:3140
select_limit,if (unit->select_limit_cnt == 0 && !calc_found_rows) ,sql/sql_optimizer.cc:360,sql/sql_optimizer.cc:361,246,sql/sql_optimizer.cc:360
max_join_size , if (global_system_variables.max_join_size == HA_POS_ERROR(0)),sql/mysqld.cc:0274,sql/mysqld.cc:0275,247,sql/mysqld.cc:0277
max_join_size ,if (!(thd->variables.option_bits & OPTION_BIG_SELECTS) &&best_read > (double)thd->variables.max_join_size &&!thd->lex->is_explain()),sql/sql_optimizer.cc:064,sql/sql_optimizer.cc:067,248,sql/sql_optimizer.cc:072
auto_increment_increment ,if (variables->auto_increment_increment == 1),sql/handler.cc:552,sql/handler.cc:553,249,sql/handler.cc:555
auto_increment_increment ,if (variables->auto_increment_increment == 1),sql/handler.cc:605,sql/handler.cc:606,250,sql/handler.cc:607
auto_increment_increment:uto_increment_offset,if (auto_increment_increment != 1 || auto_increment_offset != 1) ,sql/log_event.cc:497,sql/log_event.cc:498,251,sql/log_event.cc:503
auto_increment_increment:uto_increment_offset,"if (print_event_info->auto_increment_increment != auto_increment_increment ||
      print_event_info->auto_increment_offset != auto_increment_offset)",sql/log_event.cc:322,sql/log_event.cc:323,252,sql/log_event.cc:334
lock_wait_timeout,"if (thd->mdl_context.acquire_locks(&mdl_requests,
  thd->variables.lock_wait_timeout))",sql/dd_sql_view.cc:349,sql/dd_sql_view.cc:351,253,
lock_wait_timeout," if (thd->mdl_context.acquire_lock(&schema_request,
                                        thd->variables.lock_wait_timeout))",sql/dd_sql_view.cc:429,sql/dd_sql_view.cc:431,254,
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/event_scheduler.cc:385,sql/event_scheduler.cc:387,255,
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/lock.cc:758,sql/lock.cc:760,256,
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/lock.cc:1016,sql/lock.cc:1017,257,
lock_wait_timeout, if (lock_wait_timeout == 0),sql/mdl.cc:352,sql/mdl.cc:362,258,sql/mdl.cc:375
lock_wait_timeout,"if (thd->mdl_context.acquire_lock(&table_request,
thd->variables.lock_wait_timeout))",sql/mysqld.cc:1570,sql/mysqld.cc:1573,259,
lock_wait_timeout, if (lock_wait_timeout < 100000000 && wait_time > (double)lock_wait_timeout &&!trx_is_high_priority(trx)),storage/innobase/lock/lock0wait.cc:51,storage/innobase/lock/lock0wait.cc:53,260,storage/innobase/lock/lock0wait.cc:58
lock_wait_timeout,if (lock_wait_timeout < 100000),storage/innobase/dict/dict0dict.cc:929,storage/innobase/dict/dict0dict.cc:930,261,storage/innobase/dict/dict0dict.cc:932
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/sql_table.cc:704,sql/sql_table.cc:706,262,
lock_wait_timeout,"if (lock_tablespace_names(thd, &tablespace_set,
  thd->variables.lock_wait_timeout))",sql/sql_table.cc:0550,sql/sql_table.cc:0552,263,
innodb_change_buffering_debug,"if ((m_mode == Page_fetch::IF_IN_POOL ||
       m_mode == Page_fetch::IF_IN_POOL_OR_WATCH) &&
      (ibuf_debug || buf_debug_execute_is_force_flush())) ",storage/innobase/buf/buf0buf.cc:999,storage/innobase/buf/buf0buf.cc:005,264,storage/innobase/buf/buf0buf.cc:077
innodb_change_buffering_debug,if (ibuf_debug && !index->is_clustered()),storage/innobase/dict/dict0stats.cc:36,storage/innobase/dict/dict0stats.cc:37,265,storage/innobase/dict/dict0stats.cc:40
innodb_change_buffering_debug,f (ibuf_debug) ,storage/innobase/ibuf/ibuf0ibuf.cc:445,storage/innobase/ibuf/ibuf0ibuf.cc:446,266,storage/innobase/ibuf/ibuf0ibuf.cc:449
innodb_change_buffering_debug, if (ibuf_debug == 2),storage/innobase/ibuf/ibuf0ibuf.cc:946,storage/innobase/ibuf/ibuf0ibuf.cc:953,267,storage/innobase/ibuf/ibuf0ibuf.cc:962
innodb_checkpoint_disabled,if (*(bool *)save && !srv_checkpoint_disabled) ,storage/innobase/handler/ha_innodb.cc:0906,storage/innobase/handler/ha_innodb.cc:0911,268,storage/innobase/handler/ha_innodb.cc:0906
innodb_checkpoint_disabled, if (*(bool *)save && !srv_checkpoint_disabled),storage/innobase/handler/ha_innodb.cc:0936,storage/innobase/handler/ha_innodb.cc:0941,269,
innodb_checkpoint_disabled,if (srv_checkpoint_disabled) ,storage/innobase/log/log0chkp.cc:35,storage/innobase/log/log0chkp.cc:37,270,storage/innobase/log/log0chkp.cc:43
innodb_checkpoint_disabled, if (srv_checkpoint_disabled) ,storage/innobase/log/log0chkp.cc:34,storage/innobase/log/log0chkp.cc:35,271,storage/innobase/log/log0chkp.cc:39
innodb_checksum_algorithm, switch ((srv_checksum_algorithm_t)srv_checksum_algorithm),storage/innobase/buf/buf0flu.cc:098,,272,
innodb_checksum_algorithm," if (srv_checksum_algorithm == SRV_CHECKSUM_ALGORITHM_NONE ||
      m_skip_checksum)",storage/innobase/buf/checksum.cc:11,storage/innobase/buf/checksum.cc:13,273,storage/innobase/buf/checksum.cc:16
innodb_checksum_algorithm,if (curr_algo == SRV_CHECKSUM_ALGORITHM_NONE) ,storage/innobase/buf/checksum.cc:00,storage/innobase/buf/checksum.cc:01,274,storage/innobase/buf/checksum.cc:04
innodb_checksum_algorithm,switch (curr_algo),storage/innobase/buf/checksum.cc:64,,275,
innodb_checksum_algorithm,switch (curr_algo),storage/innobase/buf/checksum.cc:18,,276,
innodb_checksum_algorithm,switch (curr_algo),storage/innobase/buf/checksum.cc:19,,277,
innodb_checksum_algorithm,switch (curr_algo),storage/innobase/page/page0page.cc:593,,278,
max_allowed_packet,if (str->length()>current_thd->variables.max_allowed_packet),sql/item_geofunc.cc:476,sql/item_geofunc.cc:477,279,sql/item_geofunc.cc:484
max_allowed_packet," if (!res || res->length() >(uint)base64_encode_max_arg_length() ||
(too_long =((length = base64_needed_encoded_length((uint64)res->length())) >
current_thd->variables.max_allowed_packet)) || tmp_value.alloc((uint)length))",sql/item_strfunc.cc:00,sql/item_strfunc.cc:05,280,sql/item_strfunc.cc:11
max_allowed_packet,if (tmp_value.length() + sep_str->length() + res2->length() >thd->variables.max_allowed_packet) ,sql/item_strfunc.cc:081,sql/item_strfunc.cc:083,281,sql/item_strfunc.cc:085
max_allowed_packet,if (length > current_thd->variables.max_allowed_packet / (uint)count) ,sql/item_strfunc.cc:521,sql/item_strfunc.cc:522,282,sql/item_strfunc.cc:524
max_allowed_packet,if (tot_length > current_thd->variables.max_allowed_packet),sql/item_strfunc.cc:582,sql/item_strfunc.cc:583,283,sql/item_strfunc.cc:586
max_allowed_packet,if (byte_count > current_thd->variables.max_allowed_packet),sql/item_strfunc.cc:685,sql/item_strfunc.cc:686,284,sql/item_strfunc.cc:688
max_allowed_packet,if (byte_count > current_thd->variables.max_allowed_packet),sql/item_strfunc.cc:918,sql/item_strfunc.cc:919,285,sql/item_strfunc.cc:922
max_allowed_packet," if (cast_length >= 0 &&
      static_cast<ulonglong>(cast_length) > thd->variables.max_allowed_packet) ",sql/item_strfunc.cc:435,sql/item_strfunc.cc:437,286,sql/item_strfunc.cc:441
